procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 23535732 312376 3614384    0    0     0    10 1863 2199  5  8 87  0  0  0
 1  0      0 23541448 312384 3614388    0    0     0    25 1883 2110  5  8 87  0  0  0
 1  0      0 23539260 312392 3614604    0    0     0     9 1838 2077  5  8 87  0  0  0
 1  0      0 23545016 312400 3614392    0    0     0    12 1904 2090  5  8 87  0  0  0
 1  0      0 23539236 312408 3614404    0    0     0    18 1931 2109  5  8 87  0  0  0
 1  0      0 23540232 312416 3614404    0    0     0    10 1888 2105  5  8 87  0  0  0
 1  0      0 23531932 312424 3614624    0    0     0    26 1862 2131  5  8 87  0  0  0
 1  0      0 23535628 312440 3614408    0    0     0    17 1876 2206  5  8 87  0  0  0
 1  0      0 23535044 312448 3617556    0    0     0    57 1839 2142  5  8 87  0  0  0
 1  0      0 23535788 312456 3617560    0    0     0    34 1821 2076  5  8 87  0  0  0
 1  0      0 23540648 312464 3617564    0    0     0    19 1826 2106  5  8 87  0  0  0
 1  0      0 23532628 312464 3617564    0    0     0     0 2171 2067  5  8 87  0  0  0
 1  0      0 23527608 312472 3617568    0    0     0     9 1760 2103  5  8 87  0  0  0
 1  0      0 23525288 312480 3617568    0    0     0    25 1846 2094  5  8 87  0  0  0
 1  0      0 23526060 312488 3617576    0    0     0    10 1868 2047  5  8 87  0  0  0
 1  0      0 23522152 312496 3617580    0    0     0    14 1873 2046  5  8 87  0  0  0
 1  0      0 23521044 312504 3617584    0    0     0    14 2059 2059  5  8 87  0  0  0
 1  0      0 23519444 312512 3617584    0    0     0    10 1910 2048  5  8 87  0  0  0
 1  0      0 23515540 312520 3617588    0    0     0    10 1911 2066  5  8 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 23509220 312528 3617588    0    0     0     8 1951 2048  5  8 87  0  0  0
 1  0      0 23517652 312536 3617572    0    0     0    22 1832 2083  5  8 87  0  0  0
 1  0      0 23520120 312544 3617576    0    0     0    10 1832 2051  5  8 87  0  0  0
 1  0      0 23520016 312552 3617580    0    0     0    10 1805 2105  5  8 87  0  0  0
 1  0      0 23516488 312560 3617580    0    0     0    10 2260 2122  5  8 86  0  0  0
 2  0      0 23512244 312568 3617584    0    0     0    14 1885 2168  5  8 87  0  0  0
 1  0      0 23509728 312576 3617588    0    0     0    30 1759 2102  5  8 87  0  0  0
 1  0      0 23525640 312584 3617592    0    0     0    13 1762 2009  5  8 87  0  0  0
 1  0      0 23519828 312600 3617596    0    0     0    45 1853 2006  5  8 87  0  0  0
 1  0      0 23515060 312608 3617596    0    0     0    21 1784 2004  5  8 87  0  0  0
 1  0      0 23504980 312616 3617600    0    0     0    12 1779 2013  5  8 87  0  0  0
 1  0      0 23506944 312624 3617600    0    0     0     6 1768 2005  5  8 87  0  0  0
 1  0      0 23508788 312632 3617604    0    0     0    10 1775 2015  5  8 87  0  0  0
 1  0      0 23516264 312640 3617608    0    0     0    10 1847 1996  5  8 87  0  0  0
 1  0      0 23509592 312648 3617612    0    0     0    20 1806 2017  5  8 87  0  0  0
 1  0      0 23517192 312656 3617612    0    0     0    10 1810 2025  5  8 87  0  0  0
 1  0      0 23531308 312664 3617616    0    0     0    10 2267 2021  5  8 87  0  0  0
 1  0      0 23528968 312672 3617616    0    0     0     8 1815 2011  5  8 87  0  0  0
 1  0      0 23526132 312680 3617620    0    0     0     6 1825 2023  5  8 87  0  0  0
 1  0      0 23528228 312688 3617624    0    0     0    15 1840 2031  5  8 87  0  0  0
 1  0      0 23535120 312696 3617628    0    0     0    17 1770 2006  5  8 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 23535104 312704 3617628    0    0     0     9 1745 2002  5  8 87  0  0  0
 1  0      0 23533820 312712 3617636    0    0     0     9 1827 1993  5  8 87  0  0  0
 1  0      0 23532244 312720 3617636    0    0     0    11 1809 1990  5  8 87  0  0  0
 1  0      0 23533404 312744 3617648    0    0     0    54 1866 2027  5  8 87  0  0  0
 1  0      0 23523972 312744 3617648    0    0     0     5 1876 1986  5  8 87  0  0  0
 1  0      0 23519480 312752 3617652    0    0     0    18 1832 2021  5  8 87  0  0  0
 1  0      0 23523340 312760 3617656    0    0     0    21 1819 2034  5  8 87  0  0  0
 1  0      0 23531296 312768 3617656    0    0     0    10 2224 2053  5  8 86  0  0  0
 1  0      0 23525760 312776 3617724    0    0     0     6 1827 2065  5  8 87  0  0  0
 1  0      0 23539772 312784 3617664    0    0     0     9 1924 2134  5  8 87  0  0  0
 1  0      0 23525160 312792 3617676    0    0     0    20 1963 2166  6  8 86  0  0  0
 1  0      0 23530900 312800 3617680    0    0     0    22 1853 2091  5  8 87  0  0  0
 1  0      0 23533296 312808 3617684    0    0     0    13 1849 2084  5  8 87  0  0  0
 1  0      0 23525740 312816 3617684    0    0     0    24 1890 2089  5  8 87  0  0  0
 1  0      0 23472700 312824 3617688    0    0     0    11 1925 2168  5  8 86  0  0  0
 1  0      0 23467532 312832 3617692    0    0     0    10 1810 2022  5  8 87  0  0  0
 1  0      0 23483168 312840 3617480    0    0     0    12 1793 1994  5  8 87  0  0  0
 1  0      0 23475520 312848 3617696    0    0     0    12 1878 2028  5  8 87  0  0  0
 1  0      0 23482628 312856 3617700    0    0     0     7 1790 2008  5  8 87  0  0  0
 1  0      0 23483264 312864 3617700    0    0     0    10 2229 2073  6  8 87  0  0  0
 1  0      0 23479720 312872 3617708    0    0     0    20 1794 2037  5  8 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 23478348 312880 3617708    0    0     0    21 1879 2031  5  8 87  0  0  0
 1  0      0 23475564 312888 3617496    0    0     0     7 1812 1996  5  8 87  0  0  0
 1  0      0 23469012 312896 3617712    0    0     0    17 1870 2010  5  8 87  0  0  0
 1  0      0 23464292 312904 3617500    0    0     0    14 1804 1987  5  8 87  0  0  0
 1  0      0 23476120 312912 3617500    0    0     0    12 1785 1960  5  8 87  0  0  0
 1  0      0 23485560 312920 3617788    0    0     0     7 1852 1997  5  8 87  0  0  0
 2  0      0 23477552 312944 3617512    0    0     0    38 1842 2050  5  8 87  0  0  0
 1  0      0 23471512 312952 3617512    0    0     0    54 1801 2007  5  8 87  0  0  0
 1  0      0 23477716 312960 3617796    0    0     0    10 1869 2025  5  8 87  0  0  0
 1  0      0 23492912 312968 3617796    0    0     0    10 2224 2039  6  8 86  0  0  0
 1  0      0 23494132 312976 3617520    0    0     0    11 1776 1982  5  8 87  0  0  0
 1  0      0 23468768 312984 3617896    0    0     0    34 1881 2058  6  8 86  0  0  0
 1  0      0 23488744 312992 3617624    0    0     0  1823 1813 2034  5  8 87  0  0  0
 1  0      0 23480096 313000 3617628    0    0     0   837 1856 1977  5  8 87  0  0  0
 1  0      0 23486144 313008 3614712    0    0     0    18 1865 1996  5  8 87  0  0  0
 1  0      0 23482328 313016 3614704    0    0     0    12 1921 2016  5  8 87  0  0  0
 1  0      0 23481704 313024 3614712    0    0     0     8 1937 2011  5  8 87  0  0  0
 1  0      0 23484732 313032 3614712    0    0     0  1042 1927 2004  5  8 87  0  0  0
 1  0      0 23479336 313040 3614716    0    0     0     6 1915 2008  5  8 87  0  0  0
 1  0      0 23470696 313048 3614716    0    0     0    20 1863 1981  5  8 87  0  0  0
 1  0      0 23464772 313056 3614720    0    0     0     3 1839 2026  5  8 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 23461308 313064 3614720    0    0     0    14 1858 1948  5  8 87  0  0  0
 1  0      0 23466536 313064 3614732    0    0     0     6 2206 1990  6  8 87  0  0  0
 1  0      0 23463588 313072 3614740    0    0     0     9 1801 2000  5  8 87  0  0  0
 1  0      0 23461688 313080 3614744    0    0     0     7 1857 2033  5  8 87  0  0  0
 1  0      0 23463048 313088 3614744    0    0     0    30 1800 2036  5  8 87  0  0  0
 1  0      0 23468772 313104 3614748    0    0     0    50 1763 2007  5  8 87  0  0  0
 1  0      0 23466624 313112 3614752    0    0     0    18 1853 2026  5  8 87  0  0  0
 1  0      0 23465512 313112 3614756    0    0     0     4 1919 2146  6  7 87  0  0  0
 1  0      0 23471152 313120 3614760    0    0     0    20 2147 2848  5  8 87  0  0  0
 1  0      0 23474236 313128 3614760    0    0     0     6 1853 2077  5  8 87  0  0  0
 1  0      0 23471888 313136 3614764    0    0     0    11 1787 2071  5  8 87  0  0  0
 1  0      0 23464096 313144 3614764    0    0     0    20 1911 2064  5  8 87  0  0  0
 1  0      0 23468624 313152 3614768    0    0     0     6 2013 2371  5  8 87  0  0  0
 1  0      0 23464092 313160 3614772    0    0     0    12 2298 2158  5  8 87  0  0  0
 1  0      0 23470316 313168 3614776    0    0     0     9 1926 2053  5  8 87  0  0  0
 1  0      0 23477488 313176 3614776    0    0     0     9 1807 2035  5  8 87  0  0  0
 1  0      0 23475476 313184 3614780    0    0     0    19 1766 2000  5  8 87  0  0  0
 1  0      0 23469264 313192 3614780    0    0     0    18 1847 2009  5  8 87  0  0  0
 1  0      0 23475412 313200 3614784    0    0     0    16 1776 2009  5  8 87  0  0  0
 1  0      0 23470728 313208 3614788    0    0     0     7 1788 2011  5  8 87  0  0  0
 1  0      0 23472504 313216 3614792    0    0     0    11 1835 2042  5  8 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 23470660 313224 3614792    0    0     0    10 1829 2029  5  8 87  0  0  0
 1  0      0 23474000 313232 3614796    0    0     0    11 1846 1990  5  8 87  0  0  0
 1  0      0 23472028 313240 3614796    0    0     0    11 1810 2006  5  8 87  0  0  0
 1  0      0 23479872 313248 3614804    0    0     0     6 1802 2020  5  8 87  0  0  0
 1  0      0 23480464 313256 3614804    0    0     0    21 2248 2030  5  8 87  0  0  0
 1  0      0 23472580 313264 3614808    0    0     0     8 1781 2008  5  8 87  0  0  0
 1  0      0 23468260 313280 3614812    0    0     0    34 1781 2014  5  8 87  0  0  0
 1  0      0 23464872 313288 3614808    0    0     0    22 1761 1999  5  8 87  0  0  0
 1  0      0 23476692 313288 3614820    0    0     0     8 1763 1995  5  8 87  0  0  0
 1  0      0 23476960 313296 3614824    0    0     0    13 1855 2024  5  8 87  0  0  0
 1  0      0 23484628 313304 3614828    0    0     0    13 1807 2019  5  8 87  0  0  0
 1  0      0 23481260 313312 3614828    0    0     0    29 1814 2014  5  8 87  0  0  0
 1  0      0 23489608 313320 3614832    0    0     0     6 1974 2613  6  8 86  0  0  0
 1  0      0 23486572 313328 3614832    0    0     0    14 1788 1995  5  8 87  0  0  0
 1  0      0 23481000 313336 3615060    0    0    45    13 1913 2134  5  8 87  0  0  0
 1  0      0 23482764 313344 3615064    0    0     0    46 1810 2022  5  8 87  0  0  0
 1  0      0 23493016 313352 3615064    0    0     0    11 2224 2053  5  8 86  0  0  0
 1  0      0 23491924 313360 3615068    0    0     0    11 1806 2066  5  8 87  0  0  0
 1  0      0 23488476 313368 3615072    0    0     0    14 1840 2041  5  8 87  0  0  0
 1  0      0 23495148 313376 3615072    0    0     0    19 1732 2009  5  8 87  0  0  0
 1  0      0 23489868 313384 3615080    0    0     0    22 1787 2023  5  8 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 23487508 313392 3615080    0    0     0    23 1833 1993  5  8 87  0  0  0
 1  0      0 23485620 313400 3615084    0    0     0     7 1779 2019  5  8 87  0  0  0
 1  0      0 23490556 313408 3615084    0    0     0    10 1735 1998  5  8 87  0  0  0
 1  0      0 23498304 313420 3615092    0    0     0    11 1758 2030  5  8 87  0  0  0
 1  0      0 23490008 313428 3615092    0    0     0    72 1786 2013  5  8 87  0  0  0
 1  0      0 23486432 313436 3615100    0    0     0    14 1758 2044  5  8 87  0  0  0
 1  0      0 23482672 313444 3615104    0    0     0     7 1693 2008  5  8 87  0  0  0
 1  0      0 23491048 313452 3615104    0    0     0    12 2163 2024  6  8 87  0  0  0
 1  0      0 23487020 313460 3615108    0    0     0     8 1670 2012  5  8 87  0  0  0
 1  0      0 23483872 313468 3615120    0    0     0    14 1730 2086  5  8 87  0  0  0
 1  0      0 23492616 313476 3615128    0    0     0    76 1689 2013  5  8 87  0  0  0
 1  0      0 23486440 313484 3615132    0    0     0    30 1798 2032  5  8 87  0  0  0
 1  0      0 23492280 313492 3615136    0    0     0    14 1856 2544  5  8 87  0  0  0
 1  0      0 23494988 313500 3615136    0    0     0     7 1786 2017  5  8 87  0  0  0
 1  0      0 23495408 313508 3615140    0    0     0     9 1765 2010  5  8 87  0  0  0
 1  0      0 23492784 313516 3615140    0    0     0    10 1846 2031  5  8 87  0  0  0
 1  0      0 23491316 313524 3615148    0    0     0    14 1795 1986  5  8 87  0  0  0
 1  0      0 23492936 313532 3615148    0    0     0    10 1827 2018  5  8 87  0  0  0
 1  0      0 23490792 313548 3615144    0    0     0    40 2269 2020  5  8 86  0  0  0
 1  0      0 23493000 313556 3615364    0    0     0    18 1874 2033  5  8 87  0  0  0
 1  0      0 23489692 313556 3615368    0    0     0     3 1816 2004  5  8 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 23501536 313564 3615368    0    0     0     7 1886 2036  5  8 87  0  0  0
 1  0      0 23501476 313572 3615376    0    0     0    33 1777 2000  5  8 87  0  0  0
 1  0      0 23499680 313580 3615164    0    0     0    34 1792 2013  5  8 87  0  0  0
 1  0      0 23501768 313588 3615384    0    0     0    15 1753 2005  5  8 87  0  0  0
 1  0      0 23505504 313596 3615168    0    0     0    23 1826 2014  5  8 87  0  0  0
 1  0      0 23508432 313604 3615388    0    0     0    12 1914 2003  5  8 87  0  0  0
 1  0      0 23502388 313612 3615176    0    0     0     9 1830 2028  5  8 87  0  0  0
 1  0      0 23496392 313620 3615180    0    0     0    14 1729 1984  5  8 87  0  0  0
 1  0      0 23496160 313628 3615172    0    0     0    12 1762 2101  5  8 87  0  0  0
 1  0      0 23497184 313636 3615388    0    0     0     9 2302 2074  6  8 87  0  0  0
 1  0      0 23487872 313644 3615392    0    0     0    14 1863 2032  5  8 87  0  0  0
 1  0      0 23497364 313652 3615392    0    0     0     8 1909 2035  5  8 87  0  0  0
 1  0      0 23498068 313660 3615184    0    0     0    10 1857 2032  5  8 87  0  0  0
 1  0      0 23488036 313668 3615184    0    0     0    16 1814 2016  5  8 87  0  0  0
 1  0      0 23488820 313676 3615188    0    0     0    26 1777 2007  5  8 87  0  0  0
 1  0      0 23482776 313684 3615188    0    0     0    10 1858 1991  5  8 87  0  0  0
 1  0      0 23475488 313692 3615192    0    0     0     7 1807 2011  5  8 87  0  0  0
 1  0      0 23470232 313700 3615192    0    0     0     9 1739 1988  5  8 87  0  0  0
 1  0      0 23468752 313708 3615200    0    0     0    12 1795 2012  5  8 87  0  0  0
 1  0      0 23470288 313716 3615200    0    0     0    13 1791 1993  5  8 87  0  0  0
 1  0      0 23488340 313724 3615204    0    0     0    18 1814 2019  5  8 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 23494732 313732 3615204    0    0     0     6 2271 2028  5  8 86  0  0  0
 1  0      0 23495768 313740 3615424    0    0     0    12 1762 1972  5  8 87  0  0  0
 1  0      0 23490664 313748 3618348    0    0     0    12 1724 1986  5  8 87  0  0  0
 1  0      0 23489736 313756 3618352    0    0     0    10 1803 2049  5  8 87  0  0  0
 1  0      0 23486868 313764 3618360    0    0     0    21 1905 2097  6  8 86  0  0  0
 1  0      0 23484320 313772 3618368    0    0     0    22 1863 2062  5  8 87  0  0  0
 1  0      0 23488688 313780 3618372    0    0     0    22 1762 2039  5  8 87  0  0  0
 1  0      0 23486096 313788 3618372    0    0     0    23 1838 2003  5  8 87  0  0  0
 1  0      0 23483732 313796 3618380    0    0     0     9 1763 2011  5  8 87  0  0  0
 1  0      0 23480992 313804 3618380    0    0     0    14 1775 2003  5  8 87  0  0  0
 1  0      0 23468900 313812 3621968    0    0     0    16 2531 3451  5  8 86  0  0  0
 1  0      0 23449012 313820 3615916    0    0    76    30 2758 3914  6  9 84  0  0  0
 1  0      0 23449740 313836 3615940    0    0     0    83 2123 2840  5  8 87  0  0  0
 1  0      0 23463804 313844 3616252    0    0     0    19 2582 3717  5  8 86  0  0  0
 1  0      0 23463536 313844 3615940    0    0     0     9 2380 3498  5  8 87  0  0  0
 1  0      0 23463536 313852 3615924    0    0     0    35 2171 2566  5  8 87  0  0  0
 1  0      0 23451272 313860 3615960    0    0     6    16 2451 2616  6  8 86  0  0  0
 1  0      0 23442596 313868 3615960    0    0     0    16 1924 2073  5  8 87  0  0  0
 1  0      0 23432004 313880 3623660    0    0     6    89 3763 6889  7  9 84  0  0  0
 1  0      0 23437488 313892 3620152    0    0     1    58 2630 4082  6  8 86  0  0  0
 2  0      0 23398188 313908 3637532    0    0   192    31 3507 5397  8  9 83  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 23369232 313980 3631304    0    0   162   370 3342 5505  7  9 84  0  0  0
 1  0      0 23328264 314044 3647612    0    0    70   218 4143 7861  7  9 84  0  0  0
 1  0      0 23333756 314060 3643860    0    0     0   754 2937 4775  6  9 86  0  0  0
 1  0      0 23339836 314100 3639672    0    0     0   110 1972 2254  5  8 86  0  0  0
 1  0      0 23342428 314100 3639672    0    0     0   154 1608 1619  5  8 87  0  0  0
 1  0      0 23130860 314132 3641848    0    0     0   170 2309 3384  5  9 86  0  0  0
 1  0      0 23015428 314204 3639696    0    0     0   100 2708 3543  6  9 85  0  0  0
 1  0      0 23076952 314224 3639704    0    0     0    38 1677 1064  5  8 86  0  0  0
 1  0      0 23160900 314232 3639708    0    0     0    41 1501  846  5  8 87  0  0  0
 1  0      0 23172388 314240 3648044    0    0     0    38 2446 3459  5  9 86  0  0  0
 1  0      0 23143004 314248 3639660    0    0     0    63 3693 5439  7  9 84  0  0  0
 1  0      0 23125408 314256 3639672    0    0     0    45 2029 2094  6  8 86  0  0  0
 1  0      0 23074328 314280 3635572    0    0     0    65 1941 2036  5  8 86  0  0  0
 1  0      0 23115068 314288 3631468    0    0     0    29 1846 1940  5  9 86  0  0  0
 1  0      0 23206776 314296 3631508    0    0     0    26 1795 1762  5  8 87  0  0  0
 1  0      0 23295004 314304 3631512    0    0     0    22 1698 1501  5  9 87  0  0  0
 3  0      0 23326876 314328 3631520    0    0     0    54 2503 1557 14  8 77  0  0  0
 2  0      0 23341660 314336 3631512    0    0     0    51 2717 1525 17  9 74  0  0  0
