procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 26339784 311928 2847864    0    0  1328   133 1832    4  3  0 97  0  0  0
 0  0      0 26315372 311944 2847992    0    0     0    20 1821 3452  1  0 98  0  0  0
 0  0      0 26312880 311952 2847992    0    0     0    94 1723 4232  1  1 99  0  0  0
 0  0      0 26325552 312000 2849000    0    0     0    53 2513 5712  2  1 97  0  0  0
 0  0      0 26310652 312000 2847016    0    0     0     9 1170 3027  1  0 99  0  0  0
 0  0      0 26326752 312008 2847016    0    0     0    16 1144 2790  1  0 99  0  0  0
 0  1      0 24916164 312032 3328324    0    0 93218     4 4163 7007  7  3 88  3  0  0
 1  0      0 24534428 312040 3363700    0    0  7472    53 2203 2301 13  1 87  0  0  0
 1  0      0 24325136 312052 3363708    0    0     0    14 2239 2636 13  0 87  0  0  0
 1  0      0 24049016 312060 3365652    0    0   381    58 2772 3270 14  0 86  0  0  0
 1  0      0 24034544 312068 3365664    0    0     0   181 2893 4961 14  1 86  0  0  0
 1  0      0 24019032 312084 3365840    0    0     0    49 3419 4848 14  1 85  0  0  0
 1  0      0 23992876 312108 3365844    0    0     0    38 3391 4941 14  1 85  0  0  0
 1  0      0 23966408 312116 3366356    0    0     0     4 2834 4818 14  1 86  0  0  0
 3  0      0 23936208 312124 3366364    0    0     0    32 3278 4980 14  1 85  0  0  0
 2  0      0 23897008 312136 3366396    0    0     6    18 2952 4873 14  1 86  0  0  0
 1  0      0 23897136 312144 3367428    0    0     0    70 3369 4860 14  1 85  0  0  0
 1  0      0 23863700 312152 3367432    0    0     0     9 3416 4958 14  1 85  0  0  0
 1  0      0 23834700 312160 3369484    0    0     0     6 2902 4829 14  1 86  0  0  0
 1  0      0 23827144 312168 3369484    0    0     0    11 3212 4726 14  1 85  0  0  0
 1  0      0 23795652 312176 3369508    0    0     0    10 3281 4991 14  1 85  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 23770932 312184 3373604    0    0     0    21 2827 4991 14  0 86  0  0  0
 1  0      0 23747960 312192 3373608    0    0     0    22 3335 4987 14  1 85  0  0  0
 1  0      0 23710600 312200 3381832    0    0     0    17 2941 4970 14  1 86  0  0  0
 1  0      0 23552768 312208 3614136    0    0 46315     9 3209 4142  7  6 86  1  0  0
 1  0      0 23557992 312216 3614268    0    0    26    10 2307 3405  6  7 86  0  0  0
 1  0      0 23546176 312224 3614288    0    0     0    31 1805 2145  5  8 87  0  0  0
 1  0      0 23540160 312232 3614292    0    0     0    18 1857 2116  5  8 87  0  0  0
 1  0      0 23545556 312240 3614292    0    0     0    11 1769 2042  5  8 87  0  0  0
 1  0      0 23548228 312248 3614296    0    0     0    19 1810 2095  5  8 87  0  0  0
 1  0      0 23550260 312256 3614296    0    0     0    10 1779 2006  5  8 87  0  0  0
 1  0      0 23557620 312264 3614320    0    0     0    12 2202 2050  6  8 86  0  0  0
 1  0      0 23542852 312272 3614324    0    0     0    13 1896 2114  6  8 86  0  0  0
 1  0      0 23541948 312280 3614328    0    0     0     6 1828 2073  5  8 87  0  0  0
 1  0      0 23543688 312288 3614332    0    0     0    19 1802 2028  5  8 87  0  0  0
 1  0      0 23547160 312296 3614336    0    0     0    21 1831 2072  5  8 87  0  0  0
 1  0      0 23547440 312304 3614336    0    0     0    23 1860 2050  5  8 87  0  0  0
 1  0      0 23546712 312312 3614344    0    0     0    12 1832 2082  5  8 87  0  0  0
 1  0      0 23546228 312320 3614560    0    0     0    15 1807 2097  5  8 87  0  0  0
 1  0      0 23536668 312344 3614348    0    0     0    22 1930 2104  5  8 87  0  0  0
 1  0      0 23542324 312344 3614348    0    0     0     8 1878 2067  5  8 87  0  0  0
 1  0      0 23549696 312360 3614356    0    0     0    23 1791 2093  5  8 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 23545692 312364 3614356    0    0     0     9 1849 2044  5  8 87  0  0  0
 1  0      0 23537784 312368 3614384    0    0     0    21 2372 2258  6  8 86  0  0  0
