procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 24700896 142184 3165712    0    0     0    18 1727 1890  5  8 87  0  0  0
 1  0      0 24700756 142192 3165716    0    0     0    14 1661 1902  5  8 87  0  0  0
 1  0      0 24699612 142200 3165716    0    0     0     9 1787 1917  5  8 87  0  0  0
 1  0      0 24697548 142208 3165724    0    0     0    55 1719 1896  5  8 87  0  0  0
 1  0      0 24699916 142216 3161628    0    0     0    28 1761 1908  5  8 87  0  0  0
 1  0      0 24711348 142224 3157532    0    0     0    12 1706 1865  5  8 87  0  0  0
 1  0      0 24706992 142232 3156276    0    0     0    10 1805 1897  5  8 87  0  0  0
 1  0      0 24698016 142240 3156280    0    0     0    18 1637 1844  5  8 87  0  0  0
 1  0      0 24702520 142248 3156280    0    0     0    10 1681 1847  5  8 87  0  0  0
 1  0      0 24707496 142256 3156288    0    0     0    14 1710 1871  5  8 87  0  0  0
 1  0      0 24706600 142264 3156292    0    0     0    13 1860 1892  5  8 87  0  0  0
 1  0      0 24709044 142272 3156292    0    0     0    18 2169 1910  5  8 87  0  0  0
 1  0      0 24711008 142280 3156296    0    0     0    10 1752 1894  5  8 87  0  0  0
 1  0      0 24708000 142288 3156296    0    0     0    15 1755 1872  5  8 87  0  0  0
 1  0      0 24708836 142296 3156300    0    0     0     7 1750 1887  5  8 87  0  0  0
 1  0      0 24707552 142304 3156304    0    0     0    14 1747 1875  5  8 87  0  0  0
 1  0      0 24722704 142312 3156308    0    0     0    18 1779 1900  5  8 87  0  0  0
 1  0      0 24719188 142320 3156308    0    0     0    15 1762 1880  5  8 87  0  0  0
 1  0      0 24714612 142328 3156312    0    0     0    10 1831 1915  5  8 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 24710152 142336 3156320    0    0     2    13 1739 1936  5  8 87  0  0  0
 1  0      0 24715852 142352 3156368    0    0     0    71 1731 1896  5  8 87  0  0  0
 1  0      0 24714948 142360 3156144    0    0     0    23 1764 1875  5  8 87  0  0  0
 1  0      0 24726024 142368 3156372    0    0     0    16 1779 1901  5  8 87  0  0  0
 1  0      0 24726228 142376 3156372    0    0     0     6 1893 1884  5  8 87  0  0  0
 2  0      0 24723180 142384 3156376    0    0     0     9 1755 1825  5  8 87  0  0  0
 1  0      0 24729508 142392 3156376    0    0     0    13 1764 1874  5  8 87  0  0  0
 1  0      0 24723696 142400 3156156    0    0     0    10 1838 1911  5  8 87  0  0  0
 1  0      0 24716184 142408 3156104    0    0     0     7 1803 1896  5  8 87  0  0  0
 1  0      0 24713116 142416 3156168    0    0     0    13 1751 1886  5  8 87  0  0  0
 1  0      0 24709376 142424 3156392    0    0     0     9 1783 1853  5  8 87  0  0  0
 1  0      0 24711044 142432 3156460    0    0     0     6 1698 1857  5  8 87  0  0  0
 1  0      0 24717724 142440 3156468    0    0     0     6 1715 1893  5  8 87  0  0  0
 1  0      0 24713892 142448 3156192    0    0     0    16 1782 1887  5  8 87  0  0  0
 1  0      0 24710492 142456 3156476    0    0     0    30 1720 1889  5  8 87  0  0  0
 1  0      0 24715760 142464 3156476    0    0     0    22 1787 1899  5  8 87  0  0  0
 1  0      0 24716000 142472 3156192    0    0     0     6 2167 1908  5  8 87  0  0  0
 1  0      0 24712504 142480 3156472    0    0     0    11 1705 1863  5  8 87  0  0  0
 1  0      0 24708472 142488 3153288    0    0     0    15 1694 1856  5  8 87  0  0  0
 1  0      0 24714992 142496 3153288    0    0     0    11 1679 1887  5  8 87  0  0  0
 1  0      0 24722032 142504 3153292    0    0     0    13 1788 1888  5  8 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 24719112 142512 3153292    0    0     0    18 1761 1915  5  8 87  0  0  0
 1  0      0 24722216 142520 3153296    0    0     0    17 1884 1864  5  8 87  0  0  0
 1  0      0 24720116 142528 3153296    0    0     0     4 1746 1866  5  8 87  0  0  0
 1  0      0 24704756 142536 3153292    0    0     0    12 1704 1840  5  8 87  0  0  0
 3  0      0 24706796 142544 3153304    0    0     0    12 1713 1839  5  8 87  0  0  0
 1  0      0 24706624 142552 3153312    0    0     0    24 1714 1848  5  8 87  0  0  0
 1  0      0 24669712 142580 3153604    0    0    28    39 1825 1952  5  8 87  0  0  0
 1  0      0 24631488 142588 3153608    0    0     0    18 1789 1909  5  8 87  0  0  0
 1  0      0 24632888 142596 3153608    0    0     0    20 2100 1896  5  8 87  0  0  0
 1  0      0 24628052 142596 3153616    0    0     0     5 1862 1903  5  8 87  0  0  0
 1  0      0 24627476 142628 3153616    0    0     3    30 1737 1933  5  8 87  0  0  0
 1  0      0 24619860 142636 3153624    0    0     0    33 1724 1902  5  8 87  0  0  0
 1  0      0 24618888 142652 3153684    0    0     0    62 1946 1965  6  8 86  0  0  0
 1  0      0 24623176 142652 3153640    0    0     0    18 1820 1867  5  8 87  0  0  0
 1  0      0 24629656 142660 3153644    0    0     0    14 1785 1878  5  8 87  0  0  0
 1  0      0 24625484 142668 3153648    0    0     0    21 1892 1896  5  8 87  0  0  0
 1  0      0 24627536 142676 3153652    0    0     0    18 1755 1879  5  8 87  0  0  0
 1  0      0 24629696 142684 3153652    0    0     0    10 1778 1881  5  8 87  0  0  0
 1  0      0 24636724 142692 3153656    0    0     0    10 1767 1891  5  8 87  0  0  0
 1  0      0 24626292 142700 3153656    0    0     0    10 1721 1889  5  8 87  0  0  0
 1  0      0 24648180 142708 3153660    0    0     0    15 2176 1908  5  8 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 24643644 142716 3153664    0    0     0     9 1693 1886  5  8 87  0  0  0
 1  0      0 24637852 142724 3153668    0    0     0    10 1806 1905  5  8 87  0  0  0
 1  0      0 24651812 142732 3153672    0    0     0    18 1718 1893  5  8 87  0  0  0
 1  0      0 24648088 142740 3153680    0    0     0    20 1772 1904  5  8 87  0  0  0
 1  0      0 24650240 142748 3153680    0    0     0    25 1722 1878  5  8 87  0  0  0
 1  0      0 24650216 142756 3153948    0    0    27     6 1728 1989  6  7 87  0  0  0
 1  0      0 24647484 142764 3153948    0    0     0    38 1821 1937  5  8 87  0  0  0
 1  0      0 24653120 142772 3153952    0    0     0    12 1692 1897  5  8 87  0  0  0
 1  0      0 24648436 142780 3153952    0    0     0    17 1635 1864  5  8 87  0  0  0
 2  0      0 24642140 142788 3153956    0    0     0     6 1723 1901  5  8 87  0  0  0
 1  0      0 24632568 142796 3153956    0    0     0    11 1704 1879  5  8 87  0  0  0
 2  0      0 24630080 142804 3156156    0    0     0    14 3043 4086  6  8 86  0  0  0
 1  0      0 24628348 143784 3157168    0    0   809    49 2809 3945  6  9 85  0  0  0
 1  0      0 24639196 143792 3157168    0    0     0    75 1890 2389  6  8 87  0  0  0
 1  0      0 24638968 143820 3157176    0    0     6    46 2207 3377  5  8 87  0  0  0
 1  0      0 24639224 143820 3157192    0    0     0    18 2049 2613  5  8 87  0  0  0
 1  0      0 24638972 143828 3157196    0    0     0     6 1876 2366  5  8 87  0  0  0
 1  0      0 24638472 143836 3157228    0    0     6     8 1825 2109  5  8 87  0  0  0
 6  0      0 24495232 143868 3169084    0    0     0   174 5509 10863 11 10 79  0  0  0
 1  0      0 24203100 143868 3174532    0    0     0    26 5824 7846 11  9 79  0  0  0
 2  0      0 24212332 143900 3179040    0    0     0   304 2875 4691  7  8 85  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 24134648 143932 3181556    0    0     0   338 8491 10825 18  9 73  0  0  0
 1  0      0 23914600 143940 3188776    0    0     1    37 4350 6253 11  8 81  0  0  0
 1  0      0 23777624 143972 3175340    0    0     0    97 3024 4414  6  9 85  0  0  0
 1  0      0 24024472 144012 3175352    0    0     0   120 3626 5624  6  8 85  0  0  0
 1  0      0 23987048 144020 3175248    0    0     0    62 2013 2033  5  8 87  0  0  0
 1  0      0 24008784 144028 3175268    0    0     0   189 2063 2038  5  8 86  0  0  0
 1  0      0 24141632 144036 3175272    0    0     0    34 2444 2152  5  8 86  0  0  0
 1  0      0 24249044 144044 3175276    0    0     0    43 2012 1970  5  8 87  0  0  0
 1  0      0 24155580 144044 3175276    0    0     0     6 1766 1852  5  8 87  0  0  0
 1  0      0 24177216 144052 3175280    0    0     0     8 1874 1895  5  8 87  0  0  0
 1  0      0 24194768 144060 3175280    0    0     0    11 1935 1900  5  8 87  0  0  0
 1  0      0 24143484 144068 3175284    0    0     0    10 2048 1926  5  8 87  0  0  0
 1  0      0 24181956 144076 3175288    0    0     0     6 1933 1909  5  8 87  0  0  0
 1  0      0 24218072 144084 3175288    0    0     0    14 2007 1897  5  8 87  0  0  0
 1  0      0 24178352 144092 3175292    0    0     0     8 1938 1857  5  8 87  0  0  0
 1  0      0 24232724 144100 3179196    0    0     0   777 2312 2006  6  8 86  0  0  0
 1  0      0 24185848 144108 3179200    0    0     0     8 1941 1906  5  8 87  0  0  0
 1  0      0 24197444 144116 3179200    0    0     0    32 1891 1896  5  8 87  0  0  0
 1  0      0 24248832 144124 3179208    0    0     0    35 1907 1915  5  8 87  0  0  0
 1  0      0 24208396 144132 3179208    0    0     0    17 1887 1915  5  8 86  0  0  0
 2  0      0 24203896 144140 3179212    0    0     0     9 1856 1853  5  8 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 24183076 144148 3179212    0    0     0     9 1858 1871  5  8 87  0  0  0
 1  0      0 24210236 144648 3179452    0    0    98    15 1901 2017  5  8 87  0  0  0
 1  0      0 24166616 144656 3179452    0    0     0    45 1847 1911  5  8 87  0  0  0
 1  0      0 24165952 144668 3179460    0    0     0    16 1907 1925  5  8 87  0  0  0
 1  0      0 24171972 144676 3179460    0    0     0    12 1892 1907  5  8 87  0  0  0
 1  0      0 24192652 144684 3179464    0    0     0    15 1864 1880  5  8 87  0  0  0
 1  0      0 24182724 144692 3179464    0    0     0     8 1852 1837  5  8 87  0  0  0
 1  0      0 24208456 144700 3179468    0    0     0     9 1859 1894  5  8 87  0  0  0
 1  0      0 24208716 144708 3179468    0    0     0    24 1865 1892  5  8 87  0  0  0
 1  0      0 24208828 144724 3179476    0    0     0    43 1826 1893  5  8 87  0  0  0
 1  0      0 24171344 144724 3179476    0    0     0     7 1799 1881  5  8 87  0  0  0
 1  0      0 24238812 144732 3179480    0    0     0    23 2007 1910  5  8 87  0  0  0
 1  0      0 24230320 144740 3179484    0    0     0    10 1893 1852  5  8 87  0  0  0
 2  0      0 24161712 144748 3179484    0    0     0     7 1867 1891  5  8 87  0  0  0
 1  0      0 24188060 144764 3179488    0    0     0    37 1843 1887  5  8 87  0  0  0
 1  0      0 24201320 144764 3179488    0    0     0     2 1928 1894  5  8 87  0  0  0
 1  0      0 24169720 144772 3179492    0    0     0    26 1872 1886  5  8 87  0  0  0
 1  0      0 24211820 144780 3179492    0    0     0    10 2004 1880  5  8 87  0  0  0
 1  0      0 24249652 144788 3179496    0    0     0    11 1943 1879  5  8 87  0  0  0
 1  0      0 24207088 144796 3179496    0    0     0     6 1982 1885  5  8 87  0  0  0
 1  0      0 24172632 144804 3179500    0    0     0    18 1953 1916  5  8 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 24216916 144812 3179504    0    0     0    14 1876 1893  5  8 87  0  0  0
 1  0      0 24147000 144820 3179508    0    0     0    15 1920 1887  5  8 87  0  0  0
 1  0      0 24138516 144828 3179508    0    0     0     9 1851 1880  5  8 87  0  0  0
 2  0      0 24155596 144836 3179512    0    0     0    11 1881 1908  5  8 87  0  0  0
 2  0      0 24196892 144844 3179512    0    0     0     5 1941 1918  5  8 87  0  0  0
 1  0      0 24185812 144852 3179516    0    0     0    14 1876 1881  5  8 87  0  0  0
 1  0      0 24271580 144860 3179516    0    0     0     6 2025 1907  5  8 87  0  0  0
 1  0      0 24254464 144868 3179520    0    0     0    17 2298 1916  5  8 86  0  0  0
 1  0      0 24230664 144876 3179520    0    0     0    10 1848 1874  5  8 87  0  0  0
 1  0      0 24175520 144892 3179524    0    0     0    21 1881 1895  5  8 87  0  0  0
 1  0      0 24189656 144900 3179524    0    0     0    15 1901 1882  5  8 87  0  0  0
 1  0      0 24148392 144908 3179528    0    0     0    20 1916 1879  5  8 87  0  0  0
 1  0      0 24164932 144916 3179532    0    0     0     9 1781 1903  5  8 87  0  0  0
 1  0      0 24217420 144924 3179532    0    0     0    12 1868 1883  5  8 87  0  0  0
 1  0      0 24167352 144932 3179536    0    0     0     9 1857 1872  5  8 87  0  0  0
 1  0      0 24235132 144948 3179544    0    0     0    19 1900 1933  5  8 87  0  0  0
 1  0      0 24226836 144956 3179564    0    0     0    41 1777 1924  5  8 87  0  0  0
 1  0      0 24230548 144964 3179564    0    0     0    29 1819 1889  5  8 87  0  0  0
 1  0      0 24243276 144972 3177324    0    0     0    14 1921 1925  5  8 87  0  0  0
 0  0      0 24144264 144972 3177336    0    0     0     6 1917 1941  5  8 87  0  0  0
 1  0      0 24212216 144980 3177340    0    0     0    12 1831 1887  5  8 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 24240164 144988 3176180    0    0     0    14 1914 1901  5  8 87  0  0  0
 1  0      0 24159096 144996 3176184    0    0     0    10 1855 1896  5  8 87  0  0  0
 1  0      0 24232016 145004 3176184    0    0     0    20 1913 1885  5  8 87  0  0  0
 1  0      0 24205828 145012 3176192    0    0     0    16 1799 1890  5  8 87  0  0  0
 1  0      0 24183500 145020 3176196    0    0     0    14 1832 1893  5  8 87  0  0  0
 1  0      0 24232440 145028 3176204    0    0     0    36 1816 1880  5  8 87  0  0  0
 1  0      0 24127364 145036 3176204    0    0     0    18 1808 1889  5  8 87  0  0  0
 1  0      0 24230904 145044 3172108    0    0     0    19 1801 1894  5  8 87  0  0  0
 1  0      0 24205584 145052 3172108    0    0     0    10 1773 1852  5  8 87  0  0  0
 1  0      0 24182284 145060 3172112    0    0     0     6 1816 1903  5  8 87  0  0  0
 1  0      0 24252488 145068 3172112    0    0     0    14 1818 1881  5  8 87  0  0  0
 1  0      0 24168776 145076 3172116    0    0     0     8 1744 1886  5  8 87  0  0  0
 1  0      0 24161732 145084 3172120    0    0     0    12 1805 1866  5  8 87  0  0  0
 1  0      0 24164944 145092 3172120    0    0     0     8 1874 1915  5  8 87  0  0  0
 1  0      0 24214932 145100 3172124    0    0     0    12 1794 1861  5  8 87  0  0  0
 1  0      0 24169012 145108 3172124    0    0     0    12 1810 1888  5  8 87  0  0  0
 1  0      0 24177924 145116 3172128    0    0     0    12 1817 1882  5  8 87  0  0  0
 2  0      0 24172072 145124 3172128    0    0     0     8 1761 1912  5  8 87  0  0  0
 1  0      0 24171128 145136 3172160    0    0     6    20 1845 1912  5  8 87  0  0  0
 1  0      0 24184912 145144 3172160    0    0     0    39 1840 1914  5  8 87  0  0  0
 1  0      0 24245856 145152 3172164    0    0     0    25 1850 1861  5  8 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 24222732 145160 3172164    0    0     0    10 1921 1919  5  8 87  0  0  0
 1  0      0 24169048 145168 3172168    0    0     0    13 1892 1896  5  8 87  0  0  0
 1  0      0 24171568 145176 3172168    0    0     0    10 2009 1970  6  7 87  0  0  0
 1  0      0 24191328 145184 3172172    0    0     0     8 1997 1911  5  8 87  0  0  0
 1  0      0 24236900 145192 3172172    0    0     0     7 1856 1907  5  8 87  0  0  0
 2  0      0 24161408 145200 3172176    0    0     0    36 1805 1873  5  8 87  0  0  0
 1  0      0 24183776 145216 3172176    0    0     0    26 2148 1971  6  8 86  0  0  0
 1  0      0 24174420 145216 3172180    0    0     0    18 1996 1872  5  8 87  0  0  0
 1  0      0 24119136 145224 3172184    0    0     0    16 1878 1868  5  8 87  0  0  0
 1  0      0 24119988 145232 3172188    0    0     0    20 2018 1916  5  8 87  0  0  0
 1  0      0 24151828 145240 3172188    0    0     0     6 1936 1885  5  8 87  0  0  0
 1  0      0 24219552 145248 3172192    0    0     0    10 1918 1882  5  8 87  0  0  0
 1  0      0 24230096 145256 3172196    0    0     0    11 1857 1864  5  8 87  0  0  0
 1  0      0 24173508 145264 3172196    0    0     0    10 1952 1898  5  8 87  0  0  0
 1  0      0 24203984 145272 3172196    0    0     0    11 1993 1884  5  8 87  0  0  0
 1  0      0 24118528 145280 3172196    0    0     0     6 2032 1866  5  8 87  0  0  0
 1  0      0 24129728 145288 3172200    0    0     0    10 1999 1893  5  8 87  0  0  0
 1  0      0 24184052 145296 3172200    0    0     0    10 2096 1882  5  8 87  0  0  0
 1  0      0 24193172 145320 3172176    0    0     0    65 1909 1875  5  8 87  0  0  0
 1  0      0 24179356 145332 3172176    0    0     0    21 1874 1887  5  8 87  0  0  0
 1  0      0 24187100 145340 3172180    0    0     0    22 1864 1872  5  8 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 24181996 145348 3172180    0    0     0     8 1810 1854  5  8 87  0  0  0
 1  0      0 24197868 145356 3172184    0    0     0     8 1829 1894  5  8 87  0  0  0
 1  0      0 24251904 145364 3172184    0    0     0    10 1794 1901  5  8 87  0  0  0
 1  0      0 24176844 145372 3172188    0    0     0    11 1929 1864  5  8 87  0  0  0
 1  0      0 24207204 145380 3172188    0    0     0     8 2059 1902  5  8 87  0  0  0
 1  0      0 24154492 145388 3172192    0    0     0    10 1925 1875  5  8 87  0  0  0
 1  0      0 24202188 145396 3172196    0    0     0     6 1966 1863  5  8 87  0  0  0
 1  0      0 24177432 145404 3172200    0    0     0    10 1954 1910  5  8 87  0  0  0
 1  0      0 24200740 145412 3172200    0    0     0    29 1893 1875  5  8 87  0  0  0
 1  0      0 24202480 145420 3172204    0    0     0    13 1936 1914  5  8 87  0  0  0
 1  0      0 24256568 145428 3172204    0    0     0    10 1933 1858  5  8 87  0  0  0
 1  0      0 24198904 145436 3172208    0    0     0     6 1920 1884  5  8 87  0  0  0
 1  0      0 24199012 145452 3172216    0    0     0    49 1945 1897  5  8 87  0  0  0
 1  0      0 24109668 145460 3172220    0    0     0     8 2032 1953  5  8 86  0  0  0
 1  0      0 24137272 145468 3172224    0    0     0    18 1903 1895  5  8 87  0  0  0
 1  0      0 24144428 145476 3172224    0    0     0    14 1801 1891  5  8 87  0  0  0
 1  0      0 24216608 145484 3172232    0    0     0    11 1905 1871  5  8 87  0  0  0
 1  0      0 24240148 145492 3172232    0    0     0     8 1940 1877  5  8 87  0  0  0
 1  0      0 24160760 145500 3172236    0    0     0     8 2354 1892  5  8 86  0  0  0
 1  0      0 24151048 145516 3172240    0    0     0    12 1899 1944  5  8 87  0  0  0
 1  0      0 24163380 145524 3172244    0    0     0    46 1905 1840  5  8 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 24155384 145532 3172248    0    0     0    10 1876 1836  5  8 87  0  0  0
 1  0      0 24163728 145540 3172252    0    0     0    22 1886 1863  5  8 87  0  0  0
 1  0      0 24158488 145548 3172252    0    0     0     6 1921 1885  5  8 87  0  0  0
 1  0      0 24170092 145556 3172256    0    0     0     8 1926 1883  5  8 87  0  0  0
 1  0      0 24153492 145564 3172256    0    0     0    13 1976 1880  5  8 87  0  0  0
 1  0      0 24188900 145572 3172260    0    0     0    10 1898 1884  5  8 87  0  0  0
 1  0      0 24236008 145580 3172260    0    0     0    34 1934 1908  5  8 87  0  0  0
 1  0      0 24180264 145588 3172264    0    0     0    14 1970 1895  5  8 87  0  0  0
 1  0      0 24208420 145596 3172264    0    0     0    14 1955 1878  5  8 87  0  0  0
 1  0      0 24168912 145604 3172268    0    0     0    11 1890 1876  5  8 87  0  0  0
 1  0      0 24205900 145612 3172272    0    0     0     8 1889 1899  5  8 87  0  0  0
 1  0      0 24219884 145620 3172272    0    0     0    18 1961 1887  5  8 87  0  0  0
 1  0      0 24244904 145628 3172276    0    0     0    13 1977 1879  5  8 87  0  0  0
 1  0      0 24168868 145636 3172276    0    0     0    12 1920 1876  5  8 87  0  0  0
 1  0      0 24185620 145644 3172280    0    0     0     6 1897 1843  5  8 87  0  0  0
 2  0      0 24194996 145652 3172280    0    0     0     8 1986 1882  5  8 87  0  0  0
 1  0      0 24213440 145660 3172284    0    0     0     7 1872 1897  5  8 87  0  0  0
 1  0      0 24155132 145668 3172284    0    0     0    18 1900 1893  5  8 87  0  0  0
 1  0      0 24152960 145676 3172288    0    0     0    16 1922 1914  5  8 87  0  0  0
