,test losses,train losses
0,2.3060309886932373,2.3065850734710693
1,2.3057665824890137,2.306231737136841
2,2.3055031299591064,2.305694103240967
3,2.305238962173462,2.305774211883545
4,2.3049755096435547,2.305060625076294
5,2.3047122955322266,2.3050270080566406
6,2.3044488430023193,2.304828643798828
7,2.304185390472412,2.3043816089630127
8,2.303922414779663,2.3043017387390137
9,2.303659200668335,2.304058313369751
10,2.3033957481384277,2.303502321243286
11,2.3031327724456787,2.3035361766815186
12,2.302870035171509,2.3034005165100098
13,2.302607536315918,2.3026506900787354
14,2.302345037460327,2.3023669719696045
15,2.3020827770233154,2.302532434463501
16,2.301820993423462,2.302163600921631
17,2.3015592098236084,2.3021352291107178
18,2.301297664642334,2.301586151123047
19,2.3010356426239014,2.301091432571411
20,2.300774335861206,2.3008499145507812
21,2.3005127906799316,2.3008244037628174
22,2.3002512454986572,2.3006913661956787
23,2.299989700317383,2.3002469539642334
24,2.2997288703918457,2.300001382827759
25,2.2994678020477295,2.2999255657196045
26,2.2992072105407715,2.2990827560424805
27,2.2989466190338135,2.2993526458740234
28,2.2986860275268555,2.2990195751190186
29,2.2984254360198975,2.2988357543945312
30,2.2981648445129395,2.2983345985412598
31,2.2979042530059814,2.298041582107544
32,2.2976436614990234,2.297712564468384
33,2.2973830699920654,2.297246217727661
34,2.2971229553222656,2.297650098800659
35,2.2968626022338867,2.2971789836883545
36,2.296602725982666,2.2967545986175537
37,2.2963428497314453,2.296611785888672
38,2.2960829734802246,2.2965409755706787
39,2.295823335647583,2.29638934135437
40,2.295563220977783,2.29577898979187
41,2.2953028678894043,2.295295476913452
42,2.2950427532196045,2.294930934906006
43,2.2947824001312256,2.2951159477233887
44,2.294522285461426,2.294572353363037
45,2.294261932373047,2.294374465942383
46,2.294001340866089,2.2944416999816895
47,2.2937417030334473,2.294315814971924
48,2.2934823036193848,2.2936654090881348
49,2.293222665786743,2.293325662612915
50,2.2929635047912598,2.2935895919799805
51,2.2927043437957764,2.293186902999878
52,2.292445182800293,2.292721748352051
53,2.2921860218048096,2.292748212814331
54,2.291926860809326,2.29211163520813
55,2.291667938232422,2.2921512126922607
56,2.2914087772369385,2.2916746139526367
57,2.291149616241455,2.291299819946289
58,2.2908902168273926,2.291303873062134
59,2.290630340576172,2.290689706802368
60,2.290369987487793,2.290393590927124
61,2.290109872817993,2.2904880046844482
62,2.2898497581481934,2.290457010269165
63,2.2895898818969727,2.289569139480591
64,2.289330005645752,2.289457321166992
65,2.289069890975952,2.28950572013855
66,2.2888102531433105,2.289341688156128
67,2.2885499000549316,2.2890241146087646
68,2.288290023803711,2.2885589599609375
69,2.288029432296753,2.2880094051361084
70,2.287769317626953,2.2878599166870117
71,2.287508964538574,2.2876369953155518
72,2.287248134613037,2.2876973152160645
73,2.286987543106079,2.287224769592285
74,2.2867274284362793,2.2871692180633545
75,2.2864673137664795,2.286945343017578
76,2.2862069606781006,2.2860543727874756
77,2.2859466075897217,2.2863709926605225
78,2.2856860160827637,2.2860331535339355
79,2.2854254245758057,2.2858693599700928
80,2.2851641178131104,2.2851662635803223
81,2.2849032878875732,2.285130262374878
82,2.284642457962036,2.2846760749816895
83,2.284381628036499,2.2843453884124756
84,2.284120798110962,2.284700870513916
85,2.283859968185425,2.2842705249786377
86,2.2835991382598877,2.2838551998138428
87,2.2833380699157715,2.2836155891418457
88,2.2830774784088135,2.2837045192718506
89,2.282816171646118,2.2833566665649414
90,2.2825546264648438,2.2826931476593018
91,2.282292604446411,2.2821271419525146
92,2.2820305824279785,2.2818820476531982
93,2.2817680835723877,2.2820515632629395
94,2.2815053462982178,2.281451463699341
95,2.281242609024048,2.281325578689575
96,2.2809793949127197,2.28141188621521
97,2.280716896057129,2.281635046005249
98,2.280454397201538,2.280571222305298
99,2.28019118309021,2.280306100845337
100,2.27992844581604,2.280629873275757
101,2.279665231704712,2.2801742553710938
102,2.279402017593384,2.2797646522521973
103,2.2791388034820557,2.2797391414642334
104,2.2788758277893066,2.2791640758514404
105,2.2786126136779785,2.2792701721191406
106,2.2783491611480713,2.278512954711914
107,2.2780849933624268,2.2781996726989746
108,2.2778210639953613,2.2782790660858154
109,2.2775559425354004,2.2772929668426514
110,2.2772908210754395,2.277233600616455
111,2.2770252227783203,2.2773854732513428
112,2.276759624481201,2.2774505615234375
